RESIDENCY_GROUP_DESCR,ACADEMIC_YEAR,TERM,TERM_DESCR,ACADEMIC_CAREER_DESCR,ACAD_PROG,ACADEMIC_PROGRAM_DESCR,COURSE_ID,OFFER_NUMBER,FACULTY,FACULTY_DESCR,SCHOOL,SCHOOL_NAME,COURSE_NAME,COURSE_CODE,CATALOG_NUMBER,CRSE_ATTR,MASKED_ID
Local,2024,5249,2024 Term 3,Postgraduate,8266,Clinical Neuropsychology,67108,1,SCI,Faculty of Science,PSYC,School of Psychology,Neuropsychology (NPEP3),PSYC7239,7239,WILC,755415
Local,2024,5246,2024 Term 2,Postgraduate,8926,Teaching (Secondary),59591,2,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,EDST6760,6760,WILC,882915
Local,2024,5246,2024 Term 2,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,ENGG4999,4999,WILC,538441
Local,2024,5249,2024 Term 3,Postgraduate,8625,MBA (Part-time),63700,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",Law Postgraduate Internships,LAWS8173,8173,WILC,1020803
Local,2024,5243,2024 Term 1,Postgraduate,9150,Juris Doctor,65486,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",UNSW Law Internships,JURD7555,7555,WILC,1098403
Local,2024,5243,2024 Term 1,Undergraduate,4787,Social Work (Honours) / Law,50349,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",KLC Employment Clinic (Inten),LAWS3305,3305,WILC,880926
Local,2024,5243,2024 Term 1,Postgraduate,8925,Teaching (Primary),65316,2,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Prof Exp 2/Internship,EDST6765,6765,WILC,856209
International,2024,5249,2024 Term 3,Undergraduate,3502,Commerce,65607,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Consulting Project,COMM2233,2233,WILC,621492
International,2024,5243,2024 Term 1,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,COMM5030,5030,WILC,1213635
International,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55813,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Children's Health (Paeds),MFAC3506,3506,WILC,1259480
International,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,55816,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Critical Care,MFAC3508,3508,WILC,1259480
International,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,MFAC3501,3501,WILC,1259480
International,2024,5242,2024 Summer Term,Undergraduate,3805,Medicine,55811,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Obstetrics & Gynaecology,MFAC3505,3505,WILC,1259480
International,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,MFAC3502,3502,WILC,1259480
Local,2024,5243,2024 Term 1,Undergraduate,3871,Exercise Physiology,60608,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum A,HESC4611,4611,WILC,1561844
Local,2024,5246,2024 Term 2,Undergraduate,3871,Exercise Physiology,60843,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum B,HESC4622,4622,WILC,1561844
Local,2024,5249,2024 Term 3,Undergraduate,4053,Arts / Education (Secondary),65316,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Prof Exp 2/Internship,EDST6765,6765,WILC,1345298
Local,2024,5243,2024 Term 1,Undergraduate,4722,Psychological Science / Law,65481,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",UNSW Law Internships,LAWS3555,3555,WILC,1417032
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,64063,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,PRINT,MFAC3515,3515,WILC,96032
Local,2024,5242,2024 Summer Term,Undergraduate,3805,Medicine,64064,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Elective,MFAC3514,3514,WILC,96032
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55811,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Obstetrics & Gynaecology,MFAC3505,3505,WILC,96032
Local,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55819,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Selective,MFAC3509,3509,WILC,96032
