RESIDENCY_GROUP_DESCR,ACADEMIC_YEAR,TERM,TERM_DESCR,ACADEMIC_CAREER_DESCR,ACAD_PROG,ACADEMIC_PROGRAM_DESCR,COURSE_ID,OFFER_NUMBER,FACULTY,FACULTY_DESCR,SCHOOL,SCHOOL_NAME,COURSE_NAME,GENDER,FIRST_GENERATION_IND,ATSI_DESC,ATSI_GROUP,REGIONAL_REMOTE,SES,ADMISSION_PATHWAY,COURSE_CODE,CATALOG_NUMBER,CRSE_ATTR,MASKED_ID
International,2025,5253,2025 Term 1,Undergraduate,3835,Commerce / Aviation (Mgmt),66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2244,2244,WILC,9978393
Local,2025,5259,2025 Term 3,Undergraduate,3871,Exercise Physiology,60608,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum A,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,HE,HESC4611,4611,WILC,10633967
Local,2025,5256,2025 Term 2,Undergraduate,3784,Commerce / Computer Science,66909,1,BOS,DVC (A) Board of Studies,BOS,DVC (A) Board of Studies,Global Practice of Work,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,CDEV3300,3300,WILC,10801418
Local,2025,5252,2025 Summer Term,Undergraduate,3784,Commerce / Computer Science,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,COMM3030,3030,WILC,10856298
International,2025,5253,2025 Term 1,Undergraduate,3970,Science,66731,1,SCI,Faculty of Science,BABS,School of Biotechnology and Biomolecular Sciences,BABS Work Placement 1,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,BABS3199,3199,WILC,12032255
International,2025,5256,2025 Term 2,Undergraduate,3502,Commerce,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM3030,3030,WILC,12094446
International,2025,5259,2025 Term 3,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2244,2244,WILC,12209378
International,2025,5253,2025 Term 1,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2244,2244,WILC,12513761
Local,2025,5256,2025 Term 2,Undergraduate,4053,Arts / Education (Secondary),59591,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,HE,EDST6760,6760,WILC,12537990
Local,2025,5259,2025 Term 3,Undergraduate,3896,Ex Sci/Physiotherapy Ex Phys,66951,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Ex Sci Professional Placement,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,ATAR,EXPT3170,3170,WILC,12745438
Local,2025,5259,2025 Term 3,Undergraduate,3155,Actuarial Studies / Commerce,65607,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Consulting Project,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,COMM2233,2233,WILC,12722657
Local,2025,5257,2025 Semester 2 Canberra,Undergraduate,4405,Business,55575,1,UNICL,UNSW Canberra at ADFA,ZBUS,UC School of Business,Business Capstone,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,ZBUS3104,3104,WILC,13077355
